image,sender_id,label,kids
ea7b6656-3f84-4eb3-9099-23e623fc1018,148,T-Shirt,False
ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,43,T-Shirt,False
3b86d877-2b9e-4c8b-a6a2-1d87513309d0,189,Shoes,False
5d3a1404-697f-479f-9090-c1ecd0413d27,138,Shorts,False
b0c03127-9dfb-4573-8934-1958396937bf,138,Shirt,False
4c8f245e-a039-46fd-a6b9-1bb51e83fc05,226,T-Shirt,False
c995c900-693d-4dd6-8995-43f3051ec488,337,Pants,False
bf78527f-0734-44fd-a968-f6c32c12d61e,175,Shoes,False
70045b01-b350-4918-be74-2f627290ad7a,95,Skirt,False
61bbb3a2-2ee0-47bd-b3f9-2675b3076302,293,Shoes,False
08215318-faff-4037-bee9-5bceb0af7747,29,Shoes,False
8659edca-30a6-4cd2-b2f0-8c9358f2a785,150,Other,False
95609fcf-b2c2-4f35-8454-a308262e30ea,185,T-Shirt,False
71c85a46-6bf9-4929-a141-386d07bbe139,216,Other,True
04b42565-23ce-47d9-8f11-e3f1fb0d5051,82,Top,False
5dcffea5-5111-4397-b9ed-313b41bdeea8,211,Shorts,False
1b2ace0a-382e-4b87-8e9d-35cbcfac636b,186,Outwear,False
d44cfac9-3fda-47ba-8eb1-8b130f60b08c,217,Skirt,False
97074b7f-706a-4c17-b875-bd9baa5bed0e,128,Pants,False
6ba8aeb1-a812-4bd7-a0b3-d898aebe3400,211,Top,False
e3c8e575-c5b8-4c4c-9f49-62b37b611b6b,174,Dress,False
534cb9e4-658e-48a9-a9d9-365149ee52e8,16,T-Shirt,False
e6a8b33f-279c-4072-8dba-229d94205e55,65,Dress,False
13aa07bd-cf38-4309-8dc2-daddffe43922,312,Body,True
5805e9ba-176c-461b-87f7-ff400291d0fc,142,Longsleeve,False
be698ba0-7a2c-4f38-84ea-6223dc15854d,82,T-Shirt,True
a3e5af58-cc70-48b8-85f7-cd160ba95968,294,Shoes,False
8f6822c3-862b-4126-9a35-585569aec240,14,Longsleeve,False
84a4a5a4-fb02-4009-916d-7e82d65c3e12,233,Pants,False
30feae84-c7b1-4e72-8b42-0f7736d42cd5,224,Shoes,False
f968404d-6c3a-465e-9edd-347784880455,33,T-Shirt,False
f8b84112-9110-4628-91e8-9d22a13767f3,148,Skirt,False
c395de85-824c-4cbe-ad6b-ed80f5c15fb7,329,T-Shirt,False
5dc34a85-d7f8-45bc-b922-2eae1a704f4b,113,Shorts,False
4acdd295-b0b4-4991-a6cd-c9d2c322c347,190,T-Shirt,False
f2ae0355-82ec-4363-ac61-470d7f422a45,18,Undershirt,False
073f2d48-e363-474d-acbe-11103356e7e2,180,Pants,True
a283e901-d8da-4be1-91ae-2a3c94de48a2,167,Hat,False
